n,Tiempo (s),Operaciones,Tiempo (ms)
1,2.5999906938523054e-06,0,0.0025999906938523054
10,1.6699996194802225e-05,10,0.016699996194802225
100,3.480000304989517e-05,100,0.03480000304989517
1000,0.0005362999945646152,1000,0.5362999945646152
10000,0.01013710000552237,10000,10.13710000552237
