n,Tiempo (s),Operaciones,Tiempo (ms)
1,6.100002792663872e-06,0,0.006100002792663872
10,1.3800003216601908e-05,9,0.013800003216601908
100,0.00014949998876545578,825,0.14949998876545578
1000,0.04837550000229385,83250,48.37550000229385
10000,1.1860090999980457,8332500,1186.0090999980457
