n,Tiempo (s),Operaciones,Tiempo (ms)
1,6.000002031214535e-06,2,0.006000002031214535
10,1.3500000932253897e-05,120,0.013500000932253897
100,0.002137500006938353,17850,2.137500006938353
1000,0.3779285000055097,2505000,377.9285000055097
10000,49.71675459999824,350070000,49716.75459999824
